Map Multiple Insert 900 Avg Memory Usage: Physical: 22.84 bytes, Virtual: 23.07 bytes
List Multiple Insert 900 Avg Memory Usage: Physical: 33.81 bytes, Virtual: 62.55 bytes
GList Multiple Insert 900 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GSet Multiple Insert 950 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 950 Avg Memory Usage: Physical: 1.57 bytes, Virtual: 0.22 bytes
GCounter Multiple Increment 950 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 950 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 950 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 950 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 950 Avg Memory Usage: Physical: 6.27 bytes, Virtual: 2.91 bytes
List Multiple Insert 950 Avg Memory Usage: Physical: 32.79 bytes, Virtual: 53.09 bytes
GList Multiple Insert 950 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GSet Multiple Insert 1000 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 1000 Avg Memory Usage: Physical: 12.76 bytes, Virtual: 14.78 bytes
GCounter Multiple Increment 1000 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 1000 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 1000 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 1000 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 1000 Avg Memory Usage: Physical: 39.53 bytes, Virtual: 51.07 bytes
List Multiple Insert 1000 Avg Memory Usage: Physical: 65.93 bytes, Virtual: 305.97 bytes
GList Multiple Insert 1000 Avg Memory Usage: Physical: 0.45 bytes, Virtual: 0.00 bytes
Concurrent GSet Insert Avg Memory Usage: Physical: 1.23 bytes, Virtual: 0.90 bytes
Concurrent Orswot Insert Avg Memory Usage: Physical: 2.35 bytes, Virtual: 0.78 bytes
Concurrent GCounter Increment Avg Memory Usage: Physical: 0.45 bytes, Virtual: 0.00 bytes
Concurrent PNCounter Increment Avg Memory Usage: Physical: 0.67 bytes, Virtual: 0.34 bytes
Concurrent LWWReg Set Avg Memory Usage: Physical: 0.45 bytes, Virtual: 0.00 bytes
Concurrent MVReg Set Avg Memory Usage: Physical: 0.34 bytes, Virtual: 0.00 bytes
Concurrent Map Insert Avg Memory Usage: Physical: 0.34 bytes, Virtual: 0.00 bytes
Concurrent List Insert Avg Memory Usage: Physical: 929.42 bytes, Virtual: 955.51 bytes
Concurrent GList Insert Avg Memory Usage: Physical: 0.78 bytes, Virtual: 0.00 bytes
Concurrent GSet Multiple Insert 50 Avg Memory Usage: Physical: 0.67 bytes, Virtual: 0.78 bytes
Concurrent Orswot Multiple Insert 50 Avg Memory Usage: Physical: 1.46 bytes, Virtual: 4.93 bytes
Concurrent GCounter Multiple Increment 50 Avg Memory Usage: Physical: 0.11 bytes, Virtual: 0.00 bytes
Concurrent PNCounter Multiple Increment 50 Avg Memory Usage: Physical: 0.22 bytes, Virtual: 0.00 bytes
Concurrent LWWReg Multiple Set 50 Avg Memory Usage: Physical: 0.52 bytes, Virtual: 0.00 bytes
Concurrent MVReg Multiple Set 50 Avg Memory Usage: Physical: 1.34 bytes, Virtual: 0.00 bytes
Concurrent Map Multiple Insert 50 Avg Memory Usage: Physical: 2.91 bytes, Virtual: 1.79 bytes
Concurrent List Multiple Insert 50 Avg Memory Usage: Physical: 2.02 bytes, Virtual: 4.48 bytes
